Version updates of the FishingLog plugin:
07/11/26 1.3	Added proficiency across characters.
07/10/26 1.2.1	Added Midsummer quest and fish.
04/19/26 1.2	Added scalable windows (Lotro Update 48).
08/25/25 1.1.1	Fixed saving ignore Esc option.
08/17/25 1.1	Added Farmers Faire quests and fish.
07/12/25 1.0.3	Fixed sharing chat messages.
06/11/25 1.0.2	Added ignore Esc option.
08/12/24 1.0.1	Added Shift bypass for Fishing rod.
08/05/24 1.0	Added Hard Tack Event quest.
08/05/24 0.9.3	Changed buttons to blue.
06/08/24 0.9.2	Set default for options values.
05/24/24 0.9.1	Updated the ReadMe file.
05/23/24 0.9	Added fishing quests.
05/18/24 0.8.2	Added saving window position.
05/16/24 0.8.1	First public release, compendium #
05/14/24 0.8	Added common Help structure.
05/13/24 0.7	Added rod, weapon, 2nd slots.
05/12/24 0.6	Added set, list location buttons.
05/11/24 0.5	Added a window with fishing action.
05/10/24 0.4	Added Dusk Loader support.
05/10/24 0.3	Added location records
05/09/24 0.2	Added catch types
05/08/24 0.1	Initial test version
